,0,1,2,3,4,5,6,7,8,9
0,-0.30139,-0.29908,1.0,1.0,0.74839,0.82896,0.97782,0.89391,0.99485,0.99338
1,-0.18138,-0.10511,0.4,0.6,0.53552,0.62275,0.62988,0.40642,0.8241,0.66626
2,-1.5912,-0.13712,0.2,0.4,-0.04996,-0.06928,0.13943,0.23152,0.12166,0.1524
3,-1.27945,-0.0997,0.4,0.0,0.21167,0.01153,0.11513,-0.01303,0.09538,0.21343
