,0,1,2,3,4,5,6,7,8,9
0,0.6,0.68568,0.87448,0.91686,0.95956,0.87977,0.92044,0.92002,0.99097,0.99755
1,0.2,0.35579,0.2567,0.25247,0.54182,0.64594,0.7194,0.27157,0.62961,0.64174
2,0.2,0.12942,0.04882,0.18386,0.09856,0.37883,0.18972,-0.11406,0.15715,0.27755
3,0.2,0.18202,-0.50228,-0.04244,-0.05369,0.13498,-0.13075,0.06121,0.02422,0.15086
